SESSION NAME:	Saddle Club_ep103
SAMPLE RATE:	48000.000000
BIT DEPTH:	24-bit
SESSION START TIMECODE:	00:00:00:00
TIMECODE FORMAT:	24 Frame
# OF AUDIO TRACKS:	24
# OF AUDIO CLIPS:	962
# OF AUDIO FILES:	416


M A R K E R S  L I S T I N G
#   	LOCATION     	TIME REFERENCE    	UNITS    	NAME                             	TRACK NAME                       	TRACK TYPE   	COMMENTS
150 	11:14:30:00  	1942560000        	Samples  	Location 150                     	Markers                          	Ruler                            	
202 	11:14:50:08  	1943536000        	Samples  	bis                              	Markers                          	Ruler                            	
151 	11:15:00:00  	1944000000        	Samples  	Location 151                     	Markers                          	Ruler                            	
203 	11:15:17:00  	1944816000        	Samples  	bis                              	Markers                          	Ruler                            	
204 	11:15:21:13  	1945034000        	Samples  	ter                              	Markers                          	Ruler                            	
152 	11:15:30:00  	1945440000        	Samples  	Location 152                     	Markers                          	Ruler                            	
153 	11:16:00:00  	1946880000        	Samples  	Location 153                     	Markers                          	Ruler                            	
154 	11:16:30:00  	1948320000        	Samples  	Location 154                     	Markers                          	Ruler                            	
155 	11:17:00:00  	1949760000        	Samples  	Location 155                     	Markers                          	Ruler                            	
156 	11:17:30:00  	1951200000        	Samples  	Location 156                     	Markers                          	Ruler                            	
157 	11:18:00:00  	1952640000        	Samples  	Location 157                     	Markers                          	Ruler                            	
158 	11:18:30:00  	1954080000        	Samples  	Location 158                     	Markers                          	Ruler                            	
159 	11:19:00:00  	1955520000        	Samples  	Location 159                     	Markers                          	Ruler                            	
160 	11:19:30:00  	1956960000        	Samples  	Location 160                     	Markers                          	Ruler                            	
161 	11:20:00:00  	1958400000        	Samples  	Location 161                     	Markers                          	Ruler                            	
162 	11:20:30:00  	1959840000        	Samples  	Location 162                     	Markers                          	Ruler                            	
163 	11:21:00:00  	1961280000        	Samples  	Location 163                     	Markers                          	Ruler                            	
164 	11:21:30:00  	1962720000        	Samples  	Location 164                     	Markers                          	Ruler                            	
165 	11:22:00:00  	1964160000        	Samples  	Location 165                     	Markers                          	Ruler                            	
205 	11:22:13:23  	1964830000        	Samples  	bis                              	Markers                          	Ruler                            	
209 	11:22:21:07  	1965182000        	Samples  	ter                              	Markers                          	Ruler                            	
166 	11:22:30:00  	1965600000        	Samples  	Location 166                     	Markers                          	Ruler                            	
167 	11:23:00:00  	1967040000        	Samples  	Location 167                     	Markers                          	Ruler                            	
168 	11:23:30:00  	1968480000        	Samples  	Location 168                     	Markers                          	Ruler                            	
169 	11:24:00:00  	1969920000        	Samples  	Location 169                     	Markers                          	Ruler                            	
170 	11:24:30:00  	1971360000        	Samples  	Location 170                     	Markers                          	Ruler                            	
171 	11:25:00:00  	1972800000        	Samples  	Location 171                     	Markers                          	Ruler                            	
172 	11:25:30:00  	1974240000        	Samples  	Location 172                     	Markers                          	Ruler                            	
173 	11:26:00:00  	1975680000        	Samples  	Location 173                     	Markers                          	Ruler                            	
174 	11:26:30:00  	1977120000        	Samples  	Location 174                     	Markers                          	Ruler                            	
175 	11:27:00:00  	1978560000        	Samples  	Location 175                     	Markers                          	Ruler                            	
176 	11:27:30:00  	1980000000        	Samples  	Location 176                     	Markers                          	Ruler                            	
177 	11:28:00:00  	1981440000        	Samples  	Location 177                     	Markers                          	Ruler                            	
178 	11:28:30:00  	1982880000        	Samples  	Location 178                     	Markers                          	Ruler                            	
179 	11:29:00:00  	1984320000        	Samples  	Location 179                     	Markers                          	Ruler                            	
180 	11:29:30:00  	1985760000        	Samples  	Location 180                     	Markers                          	Ruler                            	
181 	11:30:00:00  	1987200000        	Samples  	Location 181                     	Markers                          	Ruler                            	
182 	11:30:30:00  	1988640000        	Samples  	Location 182                     	Markers                          	Ruler                            	
183 	11:31:00:00  	1990080000        	Samples  	Location 183                     	Markers                          	Ruler                            	
184 	11:31:30:00  	1991520000        	Samples  	Location 184                     	Markers                          	Ruler                            	
185 	11:32:00:00  	1992960000        	Samples  	Location 185                     	Markers                          	Ruler                            	
186 	11:32:30:00  	1994400000        	Samples  	Location 186                     	Markers                          	Ruler                            	
187 	11:33:00:00  	1995840000        	Samples  	Location 187                     	Markers                          	Ruler                            	
188 	11:33:30:00  	1997280000        	Samples  	Location 188                     	Markers                          	Ruler                            	
189 	11:34:00:00  	1998720000        	Samples  	Location 189                     	Markers                          	Ruler                            	
190 	11:34:30:00  	2000160000        	Samples  	Location 190                     	Markers                          	Ruler                            	
191 	11:35:00:00  	2001600000        	Samples  	Location 191                     	Markers                          	Ruler                            	
192 	11:35:30:00  	2003040000        	Samples  	Location 192                     	Markers                          	Ruler                            	
193 	11:36:00:00  	2004480000        	Samples  	Location 193                     	Markers                          	Ruler                            	
194 	11:36:30:00  	2005920000        	Samples  	Location 194                     	Markers                          	Ruler                            	
195 	11:37:00:00  	2007360000        	Samples  	Location 195                     	Markers                          	Ruler                            	
196 	11:37:30:00  	2008800000        	Samples  	Location 196                     	Markers                          	Ruler                            	
197 	11:38:00:00  	2010240000        	Samples  	Location 197                     	Markers                          	Ruler                            	
198 	11:38:30:00  	2011680000        	Samples  	Location 198                     	Markers                          	Ruler                            	
199 	11:39:00:00  	2013120000        	Samples  	Location 199                     	Markers                          	Ruler                            	
200 	11:39:30:00  	2014560000        	Samples  	Location 200                     	Markers                          	Ruler                            	
